Protein_ID	Annotation
Dcor_evm.model.hic_scaffold_6_pilon.585	PREDICTED: uncharacterized protein LOC108560465
Dcor_evm.model.hic_scaffold_6_pilon.586	Thyroid receptor-interacting protein 11
Dcor_evm.model.hic_scaffold_6_pilon.587	Mitogen-activated protein kinase kinase kinase kinase 3
Dcor_evm.model.hic_scaffold_6_pilon.588	Ryanodine receptor
Dcor_evm.model.hic_scaffold_6_pilon.589	Meiotic recombination protein DMC1/LIM15 homolog
Dcor_evm.model.hic_scaffold_6_pilon.59	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.590	Importin-7
Dcor_evm.model.hic_scaffold_6_pilon.591	Importin-7
Dcor_evm.model.hic_scaffold_6_pilon.592	Nedd8-conjugating enzyme Ubc12
Dcor_evm.model.hic_scaffold_6_pilon.593	28S ribosomal protein S35, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.594	V-type proton ATPase subunit E
Dcor_evm.model.hic_scaffold_6_pilon.595	Mediator of RNA polymerase II transcription subunit 29
Dcor_evm.model.hic_scaffold_6_pilon.596	Follistatin-related protein 5
Dcor_evm.model.hic_scaffold_6_pilon.597	Dynein assembly factor 4, axonemal
Dcor_evm.model.hic_scaffold_6_pilon.598	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.599	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.6	Dopamine N-acetyltransferase
Dcor_evm.model.hic_scaffold_6_pilon.60	Contactin-1a
Dcor_evm.model.hic_scaffold_6_pilon.600	PREDICTED: uncharacterized protein LOC108558035
Dcor_evm.model.hic_scaffold_6_pilon.601	PREDICTED: uncharacterized protein LOC108558036
Dcor_evm.model.hic_scaffold_6_pilon.602	Adenosine deaminase 2
Dcor_evm.model.hic_scaffold_6_pilon.603	Protein CYR61
Dcor_evm.model.hic_scaffold_6_pilon.604	Valine--tRNA ligase 
Dcor_evm.model.hic_scaffold_6_pilon.605	C-type lectin 37Db
Dcor_evm.model.hic_scaffold_6_pilon.606	G-protein coupled receptor Mth2
Dcor_evm.model.hic_scaffold_6_pilon.607	G-protein coupled receptor Mth2
Dcor_evm.model.hic_scaffold_6_pilon.608	G-protein coupled receptor Mth2
Dcor_evm.model.hic_scaffold_6_pilon.609	Kelch-like protein 10
Dcor_evm.model.hic_scaffold_6_pilon.61	Protein retinal degeneration B
Dcor_evm.model.hic_scaffold_6_pilon.610	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.611	hypothetical protein C0J52_24588
Dcor_evm.model.hic_scaffold_6_pilon.612	Acidic mammalian chitinase
Dcor_evm.model.hic_scaffold_6_pilon.613	Thioredoxin, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.614	WASH complex subunit 5
Dcor_evm.model.hic_scaffold_6_pilon.615	tRNA dimethylallyltransferase 
Dcor_evm.model.hic_scaffold_6_pilon.616	PREDICTED: myc proto-oncogene protein-like
Dcor_evm.model.hic_scaffold_6_pilon.617	G patch domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.618	Glucose-fructose oxidoreductase domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.619	Opsin, ultraviolet-sensitive
Dcor_evm.model.hic_scaffold_6_pilon.62	Serrate RNA effector molecule homolog
Dcor_evm.model.hic_scaffold_6_pilon.620	Dynein heavy chain 6, axonemal
Dcor_evm.model.hic_scaffold_6_pilon.621	PREDICTED: uncharacterized protein LOC108556275
Dcor_evm.model.hic_scaffold_6_pilon.622	PREDICTED: uncharacterized protein LOC108556275
Dcor_evm.model.hic_scaffold_6_pilon.623	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.624	Cleft lip and palate transmembrane protein 1-like protein
Dcor_evm.model.hic_scaffold_6_pilon.625	Kinesin-like protein Klp61F
Dcor_evm.model.hic_scaffold_6_pilon.626	Serine/threonine-protein phosphatase 4 regulatory subunit 4
Dcor_evm.model.hic_scaffold_6_pilon.627	rap guanine nucleotide exchange factor-like, partial
Dcor_evm.model.hic_scaffold_6_pilon.628	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.629	Sphingomyelin phosphodiesterase
Dcor_evm.model.hic_scaffold_6_pilon.63	hypothetical protein D910_10550
Dcor_evm.model.hic_scaffold_6_pilon.630	PREDICTED: uncharacterized protein LOC108557980
Dcor_evm.model.hic_scaffold_6_pilon.631	Tight junction-associated protein 1
Dcor_evm.model.hic_scaffold_6_pilon.632	Tyrosine-protein kinase-like otk
Dcor_evm.model.hic_scaffold_6_pilon.633	ER membrane protein complex subunit 1
Dcor_evm.model.hic_scaffold_6_pilon.634	PREDICTED: uncharacterized protein LOC108557183
Dcor_evm.model.hic_scaffold_6_pilon.635	[F-actin]-monooxygenase Mical
Dcor_evm.model.hic_scaffold_6_pilon.636	PREDICTED: protein-methionine sulfoxide oxidase Mical isoform X3
Dcor_evm.model.hic_scaffold_6_pilon.637	[F-actin]-monooxygenase MICAL3
Dcor_evm.model.hic_scaffold_6_pilon.638	Magnesium-dependent phosphatase 1
Dcor_evm.model.hic_scaffold_6_pilon.639	GTP-binding protein Rheb homolog
Dcor_evm.model.hic_scaffold_6_pilon.64	Anion exchange protein 2
Dcor_evm.model.hic_scaffold_6_pilon.640	armadillo repeat-containing protein 1-like
Dcor_evm.model.hic_scaffold_6_pilon.641	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.642	early growth response protein 1-A
Dcor_evm.model.hic_scaffold_6_pilon.643	Chymotrypsin-like elastase family member 1
Dcor_evm.model.hic_scaffold_6_pilon.644	Dehydrogenase/reductase SDR family member 7
Dcor_evm.model.hic_scaffold_6_pilon.645	Dehydrogenase/reductase SDR family member 7
Dcor_evm.model.hic_scaffold_6_pilon.646	28S ribosomal protein S2, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.647	PREDICTED: zinc finger protein 337-like
Dcor_evm.model.hic_scaffold_6_pilon.648	General transcription and DNA repair factor IIH helicase subunit XPB
Dcor_evm.model.hic_scaffold_6_pilon.649	General transcription and DNA repair factor IIH helicase subunit XPB
Dcor_evm.model.hic_scaffold_6_pilon.65	WD repeat-containing protein 47
Dcor_evm.model.hic_scaffold_6_pilon.650	General transcription and DNA repair factor IIH helicase subunit XPB
Dcor_evm.model.hic_scaffold_6_pilon.651	FAD-linked sulfhydryl oxidase ALR
Dcor_evm.model.hic_scaffold_6_pilon.652	BTB/POZ domain-containing protein 19
Dcor_evm.model.hic_scaffold_6_pilon.653	PREDICTED: uncharacterized protein LOC108562296
Dcor_evm.model.hic_scaffold_6_pilon.654	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.655	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.656	Frizzled-5
Dcor_evm.model.hic_scaffold_6_pilon.657	Frizzled-2
Dcor_evm.model.hic_scaffold_6_pilon.658	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.659	Zinc transporter ZIP1
Dcor_evm.model.hic_scaffold_6_pilon.66	Selenocysteine-specific elongation factor
Dcor_evm.model.hic_scaffold_6_pilon.660	Zinc transporter ZIP3
Dcor_evm.model.hic_scaffold_6_pilon.661	Glucose-6-phosphate 1-epimerase
Dcor_evm.model.hic_scaffold_6_pilon.662	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.663	Microcephalin
Dcor_evm.model.hic_scaffold_6_pilon.664	USP6 N-terminal-like protein
Dcor_evm.model.hic_scaffold_6_pilon.665	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.666	Tumor susceptibility gene 101 protein
Dcor_evm.model.hic_scaffold_6_pilon.667	Tumor susceptibility gene 101 protein
Dcor_evm.model.hic_scaffold_6_pilon.668	Protein lin-7 homolog C
Dcor_evm.model.hic_scaffold_6_pilon.669	Probable leucine--tRNA ligase, mitochondrial 
Dcor_evm.model.hic_scaffold_6_pilon.67	Discoidin domain-containing receptor 2
Dcor_evm.model.hic_scaffold_6_pilon.670	Luciferin 4-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.671	Luciferin 4-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.672	Luciferin 4-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.673	Luciferin 4-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.674	Luciferin 4-monooxygenase
Dcor_evm.model.hic_scaffold_6_pilon.675	PREDICTED: peptidoglycan-recognition protein LF-like
Dcor_evm.model.hic_scaffold_6_pilon.676	Probable 3',5'-cyclic phosphodiesterase pde-5
Dcor_evm.model.hic_scaffold_6_pilon.677	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
Dcor_evm.model.hic_scaffold_6_pilon.678	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
Dcor_evm.model.hic_scaffold_6_pilon.679	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
Dcor_evm.model.hic_scaffold_6_pilon.68	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.680	Probable cytochrome P450 303a1
Dcor_evm.model.hic_scaffold_6_pilon.681	Obscurin
Dcor_evm.model.hic_scaffold_6_pilon.682	PREDICTED: uncharacterized protein LOC108561486 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.683	cGMP-dependent protein kinase, isozyme 1
Dcor_evm.model.hic_scaffold_6_pilon.684	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.685	Phosphatidylcholine:ceramide cholinephosphotransferase 1
Dcor_evm.model.hic_scaffold_6_pilon.686	Phosphopantothenoylcysteine decarboxylase
Dcor_evm.model.hic_scaffold_6_pilon.687	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.688	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.689	NFX1-type zinc finger-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.69	Probable RNA-directed DNA polymerase from transposon BS
Dcor_evm.model.hic_scaffold_6_pilon.690	NFX1-type zinc finger-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.691	Sodium-coupled monocarboxylate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.692	Sodium-coupled monocarboxylate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.693	Sodium-coupled monocarboxylate transporter 1
Dcor_evm.model.hic_scaffold_6_pilon.694	Sodium-coupled monocarboxylate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.695	Sodium-coupled monocarboxylate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.696	Glutathione S-transferase
Dcor_evm.model.hic_scaffold_6_pilon.697	Glutathione S-transferase
Dcor_evm.model.hic_scaffold_6_pilon.698	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.699	Cytochrome c oxidase subunit 5B, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.7	Fasciculation and elongation protein zeta-2
Dcor_evm.model.hic_scaffold_6_pilon.70	ORF1 for putative RNA binding protein
Dcor_evm.model.hic_scaffold_6_pilon.700	CCAAT/enhancer-binding protein zeta
Dcor_evm.model.hic_scaffold_6_pilon.701	Thioredoxin-related transmembrane protein 1
Dcor_evm.model.hic_scaffold_6_pilon.702	uncharacterized protein LOC108745184
Dcor_evm.model.hic_scaffold_6_pilon.703	Peroxisome assembly factor 2
Dcor_evm.model.hic_scaffold_6_pilon.704	Peroxisome assembly factor 2
Dcor_evm.model.hic_scaffold_6_pilon.705	Ribosomal L1 domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.706	Probable H/ACA ribonucleoprotein complex subunit 1
Dcor_evm.model.hic_scaffold_6_pilon.707	La-related protein 7
Dcor_evm.model.hic_scaffold_6_pilon.708	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.709	N-alpha-acetyltransferase 10
Dcor_evm.model.hic_scaffold_6_pilon.71	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.710	PREDICTED: uncharacterized protein LOC109600939 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.711	Vacuolar fusion protein CCZ1 homolog
Dcor_evm.model.hic_scaffold_6_pilon.712	PREDICTED: allatotropin I preprohormone isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.713	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.714	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.715	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.716	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.717	PREDICTED: odorant receptor 4-like
Dcor_evm.model.hic_scaffold_6_pilon.718	Odorant receptor Or2
Dcor_evm.model.hic_scaffold_6_pilon.719	Odorant receptor Or2
Dcor_evm.model.hic_scaffold_6_pilon.72	PREDICTED: uncharacterized protein LOC105393516
Dcor_evm.model.hic_scaffold_6_pilon.720	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.721	Clustered mitochondria protein homolog
Dcor_evm.model.hic_scaffold_6_pilon.722	hypothetical protein CRG98_021375
Dcor_evm.model.hic_scaffold_6_pilon.723	PREDICTED: zinc finger protein 502 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.724	Inactive phospholipid phosphatase 7
Dcor_evm.model.hic_scaffold_6_pilon.725	PREDICTED: uncharacterized protein LOC108565737 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.726	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.727	Glutathione S-transferase
Dcor_evm.model.hic_scaffold_6_pilon.728	Carcinine transporter
Dcor_evm.model.hic_scaffold_6_pilon.729	Glutamate receptor ionotropic, NMDA 2B
Dcor_evm.model.hic_scaffold_6_pilon.73	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.730	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.731	PREDICTED: uncharacterized protein LOC108560405
Dcor_evm.model.hic_scaffold_6_pilon.732	uncharacterized protein LOC108915858
Dcor_evm.model.hic_scaffold_6_pilon.733	ATP-dependent Clp protease proteolytic subunit, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.734	PREDICTED: uncharacterized protein LOC108560403 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.735	PREDICTED: RE1-silencing transcription factor B-like
Dcor_evm.model.hic_scaffold_6_pilon.736	RING finger and SPRY domain-containing protein 1
Dcor_evm.model.hic_scaffold_6_pilon.737	Serine/threonine-protein phosphatase 4 regulatory subunit 1
Dcor_evm.model.hic_scaffold_6_pilon.738	Serine/threonine-protein phosphatase 4 regulatory subunit 1
Dcor_evm.model.hic_scaffold_6_pilon.739	EKC/KEOPS complex subunit TP53RK
Dcor_evm.model.hic_scaffold_6_pilon.74	Discoidin domain-containing receptor 2
Dcor_evm.model.hic_scaffold_6_pilon.740	Dehydrogenase/reductase SDR family member 4
Dcor_evm.model.hic_scaffold_6_pilon.741	Cuticle protein 3
Dcor_evm.model.hic_scaffold_6_pilon.742	Nuclear valosin-containing protein-like
Dcor_evm.model.hic_scaffold_6_pilon.743	PREDICTED: nuclear valosin-containing protein-like isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.744	Ribonucleases P/MRP protein subunit POP1
Dcor_evm.model.hic_scaffold_6_pilon.745	Protein gone early
Dcor_evm.model.hic_scaffold_6_pilon.746	PREDICTED: uncharacterized protein LOC108558670
Dcor_evm.model.hic_scaffold_6_pilon.747	PREDICTED: LOW QUALITY PROTEIN: probable H/ACA ribonucleoprotein complex subunit 1, partial
Dcor_evm.model.hic_scaffold_6_pilon.748	serine, glycine and glutamine-rich protein
Dcor_evm.model.hic_scaffold_6_pilon.749	Cytochrome P450 4d2
Dcor_evm.model.hic_scaffold_6_pilon.75	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.750	PREDICTED: endothelin-converting enzyme 2-like, partial
Dcor_evm.model.hic_scaffold_6_pilon.751	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
Dcor_evm.model.hic_scaffold_6_pilon.752	Nucleoside diphosphate kinase
Dcor_evm.model.hic_scaffold_6_pilon.753	Coiled-coil domain-containing protein 93
Dcor_evm.model.hic_scaffold_6_pilon.754	Down syndrome cell adhesion molecule-like protein Dscam2
Dcor_evm.model.hic_scaffold_6_pilon.755	SCY1-like protein 2
Dcor_evm.model.hic_scaffold_6_pilon.756	PREDICTED: uncharacterized protein LOC108556599
Dcor_evm.model.hic_scaffold_6_pilon.757	Cold shock domain-containing protein E1
Dcor_evm.model.hic_scaffold_6_pilon.758	PREDICTED: cell death abnormality protein 1-like
Dcor_evm.model.hic_scaffold_6_pilon.759	Transcription initiation factor TFIID subunit 11
Dcor_evm.model.hic_scaffold_6_pilon.76	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.760	Serine/threonine-protein kinase tricorner
Dcor_evm.model.hic_scaffold_6_pilon.761	Serine/threonine-protein kinase tricorner
Dcor_evm.model.hic_scaffold_6_pilon.762	Integrin-linked protein kinase homolog pat-4
Dcor_evm.model.hic_scaffold_6_pilon.763	Ecdysone-induced protein 78C
Dcor_evm.model.hic_scaffold_6_pilon.764	Tyrosine-protein kinase Abl
Dcor_evm.model.hic_scaffold_6_pilon.765	Signal recognition particle 9 kDa protein
Dcor_evm.model.hic_scaffold_6_pilon.766	Splicing factor 3B subunit 3
Dcor_evm.model.hic_scaffold_6_pilon.767	rRNA 2'-O-methyltransferase fibrillarin
Dcor_evm.model.hic_scaffold_6_pilon.768	WD repeat-containing protein 3
Dcor_evm.model.hic_scaffold_6_pilon.769	Lysosomal alpha-glucosidase
Dcor_evm.model.hic_scaffold_6_pilon.77	o-linked n-acetyl glucosamine transferase
Dcor_evm.model.hic_scaffold_6_pilon.770	PREDICTED: trimethylguanosine synthase-like, partial
Dcor_evm.model.hic_scaffold_6_pilon.771	Serine/threonine-protein kinase greatwall
Dcor_evm.model.hic_scaffold_6_pilon.772	PREDICTED: serine/threonine-protein kinase SMG1
Dcor_evm.model.hic_scaffold_6_pilon.773	Serine/threonine-protein kinase SMG1
Dcor_evm.model.hic_scaffold_6_pilon.774	Serine/threonine-protein kinase SMG1
Dcor_evm.model.hic_scaffold_6_pilon.775	Serine/threonine-protein kinase SMG1
Dcor_evm.model.hic_scaffold_6_pilon.776	Sodium-coupled monocarboxylate transporter 2
Dcor_evm.model.hic_scaffold_6_pilon.777	Cytochrome P450 4d2
Dcor_evm.model.hic_scaffold_6_pilon.778	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.779	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.78	Discoidin domain-containing receptor 2
Dcor_evm.model.hic_scaffold_6_pilon.780	Lysophosphatidylcholine acyltransferase
Dcor_evm.model.hic_scaffold_6_pilon.781	Cyclin-dependent kinase 10
Dcor_evm.model.hic_scaffold_6_pilon.782	TGF-beta receptor type-1
Dcor_evm.model.hic_scaffold_6_pilon.783	UDP-glucose 6-dehydrogenase
Dcor_evm.model.hic_scaffold_6_pilon.784	Trypsin beta
Dcor_evm.model.hic_scaffold_6_pilon.785	Chymotrypsin-2
Dcor_evm.model.hic_scaffold_6_pilon.786	Trypsin delta
Dcor_evm.model.hic_scaffold_6_pilon.787	Chymotrypsin-2
Dcor_evm.model.hic_scaffold_6_pilon.788	Chymotrypsin-2
Dcor_evm.model.hic_scaffold_6_pilon.789	Low-density lipoprotein receptor-related protein 2
Dcor_evm.model.hic_scaffold_6_pilon.79	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.790	Low-density lipoprotein receptor-related protein 2
Dcor_evm.model.hic_scaffold_6_pilon.791	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.792	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.793	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4
Dcor_evm.model.hic_scaffold_6_pilon.794	Nitric oxide synthase-interacting protein homolog
Dcor_evm.model.hic_scaffold_6_pilon.795	Type I inositol 3,4-bisphosphate 4-phosphatase
Dcor_evm.model.hic_scaffold_6_pilon.796	WD repeat-containing protein 75
Dcor_evm.model.hic_scaffold_6_pilon.797	uncharacterized protein LOC111418766 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.798	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.799	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.8	Zinc finger CCCH domain-containing protein 14
Dcor_evm.model.hic_scaffold_6_pilon.80	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.800	Choline transporter-like protein 1
Dcor_evm.model.hic_scaffold_6_pilon.801	Choline transporter-like protein 1
Dcor_evm.model.hic_scaffold_6_pilon.802	choline transporter-like protein 1 isoform X1
Dcor_evm.model.hic_scaffold_6_pilon.803	Phosducin-like protein
Dcor_evm.model.hic_scaffold_6_pilon.804	Phosducin-like protein
Dcor_evm.model.hic_scaffold_6_pilon.805	Lymphocyte expansion molecule
Dcor_evm.model.hic_scaffold_6_pilon.806	28S ribosomal protein S27, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.807	Conserved oligomeric Golgi complex subunit 8
Dcor_evm.model.hic_scaffold_6_pilon.808	PREDICTED: uncharacterized protein LOC108559064
Dcor_evm.model.hic_scaffold_6_pilon.809	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.81	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.810	Transcriptional repressor scratch 1
Dcor_evm.model.hic_scaffold_6_pilon.811	PREDICTED: hornerin-like
Dcor_evm.model.hic_scaffold_6_pilon.812	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.813	Coiled-coil domain-containing protein 102B
Dcor_evm.model.hic_scaffold_6_pilon.814	Replication protein A 70 kDa DNA-binding subunit
Dcor_evm.model.hic_scaffold_6_pilon.815	DnaJ homolog subfamily C member 22
Dcor_evm.model.hic_scaffold_6_pilon.816	Ankyrin repeat domain-containing protein 33B
Dcor_evm.model.hic_scaffold_6_pilon.817	Lig chan domain containing protein, partial
Dcor_evm.model.hic_scaffold_6_pilon.818	39S ribosomal protein L52, mitochondrial
Dcor_evm.model.hic_scaffold_6_pilon.819	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.82	PREDICTED: uncharacterized protein LOC108562932
Dcor_evm.model.hic_scaffold_6_pilon.820	hypothetical protein
Dcor_evm.model.hic_scaffold_6_pilon.821	keratin-associated protein 16-1-like
Dcor_evm.model.hic_scaffold_6_pilon.822	Probable ATP-dependent RNA helicase DDX20
Dcor_evm.model.hic_scaffold_6_pilon.823	U6 snRNA-associated Sm-like protein LSm2
Dcor_evm.model.hic_scaffold_6_pilon.824	LIM homeobox transcription factor 1-beta.1
